"","species","belly.PC1","belly.PC2","breast.PC1","breast.PC2","cheek.PC1","cheek.PC2","chin.PC1","chin.PC2","crown.PC1","crown.PC2","dorsal_tail.PC1","dorsal_tail.PC2","flank.PC1","flank.PC2","mantle.PC1","mantle.PC2","nape.PC1","nape.PC2","prim_sec.PC1","prim_sec.PC2","rump.PC1","rump.PC2","scapular.PC1","scapular.PC2","tail_coverts.PC1","tail_coverts.PC2","throat.PC1","throat.PC2","wing_coverts.PC1","wing_coverts.PC2"
"10","Argusianus_argus",2.299771083,-0.572069176,-1.007121551,1.238229839,-2.845293174,0.039721446,-3.325271752,-0.331733243,-2.334027585,-0.184240186,-0.616547636,1.5827141,-2.640920783,0.002555799,1.910330234,-0.890802105,-0.877310773,0.477955908,3.877648186,1.676331279,4.447253413,-1.955611376,-1.694357386,-0.735462672,4.217101265,-0.246191104,-2.742731747,-0.043072873,-2.622352485,-1.349426578
"44","Perdix_dauuricae",2.759737772,0.141038441,1.203814235,-2.106651541,7.867022777,-3.698953283,7.208277759,2.001031127,-0.024884066,-0.456772243,3.303767941,-1.456680587,3.819680827,-2.974259423,-0.158717771,1.030601674,1.630285115,0.420438893,-3.632465958,-1.391987775,0.888357352,0.789457474,2.445277671,0.756669256,1.378000203,-0.869026214,9.185067885,-1.081732124,3.820901209,1.235385674
"45","Perdix_hodgsoniae",-0.256466069,0.220555132,-0.653533425,-0.441294702,-2.286969635,-0.185223801,5.110057018,0.596697303,-1.115607808,-0.594560776,5.129942713,-2.20155334,-0.735147913,0.653919388,0.618615735,-0.571787155,3.150695515,-1.242198535,-0.804798885,-1.250157004,-1.615009701,-0.191784161,-0.414629728,-0.784803053,-1.267266893,0.553990077,3.036478165,-0.128632256,0.570605984,-1.362551432
"29","Gallus_sonneratii",2.128504858,-0.208124592,0.041148677,-0.158442186,-2.835335366,0.078210506,-3.314093451,-0.362843595,-2.541952732,-0.108268569,-2.447187697,1.91594014,-1.874392206,-0.113819597,1.01968648,-0.720621757,14.22582717,2.068868784,2.753427029,1.579896651,-2.385101952,0.065735683,-1.259470468,-0.734249942,-1.561831128,4.673864988,-2.731323091,-0.019373891,12.1183623,-2.379232479
"30","Gallus_varius",2.619182165,-0.140240823,-2.690103345,0.097495542,-2.848234136,0.033652729,-3.329566603,-0.322006302,-2.552685219,-0.123162163,-2.374349587,-4.213639902,-2.531720202,-0.177504748,-1.415721595,2.510150789,-1.084587167,-0.260669642,1.981986155,1.306777764,-2.977886555,0.280633396,-1.982322975,-0.619712953,-2.022532243,-2.38625694,-2.74526126,-0.046139194,-2.397056494,-1.008463038
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lophophorus_impejanus",3.120729753,0.025567045,-3.318653069,0.05992906,0.712892721,1.221480757,-2.981185833,-0.067678477,1.868902158,5.497544914,3.634190224,-0.897291733,-3.85325432,-0.70993022,-1.994162178,3.059105794,5.702922029,-2.711964733,2.755491007,1.345042389,7.439450466,6.111282281,-10.59712171,9.956213526,-1.718146082,-7.693929191,-2.37903579,-0.118626221,-6.656847375,9.71391733
"31","Ithaginis_cruentus",-1.555510318,0.231005697,3.584675726,-1.836627202,-2.557068199,-0.213118952,-1.717319216,0.689390227,1.193906148,-0.609575569,6.698810086,1.014526096,1.159179749,-0.744221224,0.768293799,0.132053017,0.098418332,0.024588551,0.862200258,-0.320982947,-1.594496804,0.275067453,-0.015283894,0.220185929,-1.089424647,0.207014139,3.237323079,-0.016725219,2.912019111,-1.238513957
"28","Gallus_lafayettei",2.241120271,-0.637954189,4.829632977,4.947157346,-2.868138725,-0.029096349,-3.354503287,-0.265788858,-2.580189112,-0.184089138,-4.126040748,6.335859838,-2.878659673,-0.173195612,-6.005957229,-0.959558953,3.064079267,-1.622003624,4.364735803,2.137244546,-4.962787896,-6.871759344,2.226862646,-1.542351462,-6.372751854,1.905319834,-2.774338675,-0.102000041,3.748503836,-1.808316891
"50","Polyplectron_chalcurum",1.99036236,-0.755107156,-1.769357828,0.772050126,-1.217425246,-0.546302034,-1.579033679,0.381709764,-1.241163898,-0.614249819,-4.418061144,1.658901309,-2.609462208,0.30915094,1.458578786,-1.201569079,-2.451419495,-0.445697769,1.914946509,0.102605088,-2.23337843,-0.569866491,-1.213449388,-1.193615672,-2.125328444,1.144133017,-1.907825197,-0.478966717,-1.498976882,-1.443254939
